Site,longitude,latitude,B data max,B 100-year,E data max,E 100-year
ILN43,-89.023548,40.614034,984.9195367634288,1218.136959391972,0.4073086210810928,0.46553800180496585
ILN44,-88.145652,40.607136,1002.4328070185652,1252.7172682593177,0.6885201862479533,0.8433550839475077
ILO41,-90.900984,40.239324,974.3845813414954,1159.737556212332,0.7464160870593106,0.8560320037336813
ILO42,-90.069131,39.994454,965.590746204619,1123.7942866528965,0.7173531229782256,0.8367478409380615
ILO43,-89.158358,40.007773,971.3551334285854,1109.7295968567428,0.32215536370392645,0.39176026476870307
ILO44,-88.385387,39.9859,985.5565600962804,1168.317986114982,0.6322333519420541,0.7015979457190777
ILO45,-87.57511,40.008747,1001.7653962906987,1159.8120636701958,0.305933791270456,0.38706688273585754
ILP42,-90.283151,39.446621,943.5977086349865,1061.790970451217,0.8306679922667971,1.0070776555255638
ILP43,-89.302922,39.427645,959.721532135815,1089.5208661124386,0.3741218017885848,0.4523528123178139
ILP44,-88.681049,39.318474,967.9002519667642,1065.7787617539327,0.35168420945972056,0.3664266099939448
ILP45,-87.710061,39.353589,987.549362765434,1130.5739442077204,0.35689236936335555,0.4082212453210886
ILQ42,-90.509515,38.934975,925.2428126225263,1012.4376424073259,0.9181961527347832,1.0311190108408903
ILQ43,-89.60967,38.71589,930.8909487631967,992.6171468131786,0.3531344993624177,0.4135466126839523
ILQ44,-88.763704,38.707532,944.3670180888324,1011.4239458691462,0.2661224728761583,0.29326113997269343
ILQ45,-87.837723,38.742065,962.5621851101427,1024.4557347164894,0.34007624236682515,0.3676461375751574
ILR43,-89.806241,37.982315,891.6883863164479,910.0829845519677,0.24286211196297217,0.2841609278401506
ILR44,-88.947979,38.098446,911.3018305347655,958.2991011781527,0.36552442811955493,0.3824981519287615
ILR45,-88.209728,37.981551,915.9255459213267,964.7020975613055,0.33201276846429345,0.38328285707964926
ILS44,-89.334349,37.436637,860.7847188465925,875.5376558249507,1.4907247531129661,1.6552035089675594
ILS45,-88.536419,37.422545,870.0241973456651,879.0849687429322,0.39669527018327416,0.49332012546603826
INL46,-85.948916,41.54903,1102.3461036075319,1315.2409226095324,0.7070703754710116,0.9323967839865162
INL47,-85.185109,41.650182,1146.4473812637373,1346.8663079513174,0.8541132111007143,0.9414145142471599
INM45,-87.005861,41.069413,1030.1214456538628,1235.952312551317,1.2265021533912805,1.6398666578041636
INM46,-86.258549,40.998518,1061.2019633139942,1226.6595870842748,0.7784772148252732,0.8546006359713334
INM47,-85.422532,40.94924,1102.7838604744434,1234.3485060195815,0.9402653009509349,1.1366303182000295
INN45,-87.281837,40.46687,1019.3794225183864,1193.1903053788221,0.5800501419862695,0.6893098936671946
INN46,-86.38276,40.419514,1039.502698886738,1174.04565778913,0.6502144541697875,0.8811169028316375
INN47,-85.471355,40.323079,1062.2110887585445,1164.872114878159,0.7547225243712123,0.9693549382519322
INO46,-86.684692,39.839979,1019.0072368994579,1145.2260669076397,0.46905931482379487,0.5645902422825416
INO47,-85.835342,39.772595,1037.0875904599357,1129.830963692506,0.4303786653334375,0.5042174000645971
INO48,-84.977563,39.610104,1054.0046825683578,1120.814143917991,0.3705797902229112,0.43857169530133444
INP46,-86.836572,39.354922,1005.5602596044587,1096.5211874503325,0.2071399926350821,0.24411164917730951
INP47,-86.212438,39.141801,1011.7954196518025,1073.4348392048094,0.3033109365485872,0.3811540469966639
INP48,-85.218858,39.047036,1030.1323075425921,1066.487138074024,0.33883533387784043,0.3436289628208231
INQ46,-87.048551,38.566442,969.4488823740968,1025.4314080829256,0.3289495273751041,0.3905693331172012
INQ48,-85.633936,38.405109,990.3986386477106,1034.4965298265786,0.6564729237121442,0.6003124058349789
INR47,-86.613541,37.915633,940.2660062143703,962.321722934507,0.3085749684394782,0.37121121988411965
KSP28,-101.694375,39.672992,977.7219434443102,1012.4502208717055,0.38741940797065866,0.33932406049098074
KSP29,-101.03651,39.698196,972.5846870081908,988.0994571991051,0.3038238108993941,0.31448425094005406
KSP30,-100.029814,39.680326,957.4236263396734,1031.8862438411286,0.25126733419311037,0.2954185246205554
KSP31,-99.426873,39.60678,945.673757831104,1026.4529875642302,0.3007948785142833,0.3587682872334448
KSP33,-97.886401,39.650572,952.0041143454854,nan,0.30287964025921854,0.3682348914298842
KSP34,-97.048504,39.554671,948.7654321922751,1087.617112445238,0.6618334318167509,0.5576406100656311
KSP35,-96.245296,39.611809,953.2814814993301,1048.2060883727993,1.6854418594120617,1.4128520776634903
KSP36,-95.447702,39.640603,956.010741634831,1024.741193152266,0.6763798194455927,0.5995094904912905
KSQ28,-101.982017,39.016621,903.563377958941,965.6428835988113,0.3986221942770083,0.3510616945895644
KSQ31,-99.482793,39.119313,909.2038740912403,981.7821353455987,0.32343190364011387,0.373031331598776
KSQ33,-97.918551,38.959364,904.8790687687098,1009.1790840271707,0.2258450311783388,0.29588063874803466
KSQ34,-97.224331,39.089147,917.7650704411377,1055.7873583388105,0.3533105261996536,0.4250619076135498
KSQ35,-96.591728,39.102872,921.1066507636892,1022.5725309626982,0.6121640374381764,0.67731635825349
KSQ36,-95.435203,38.940353,913.5946652517432,976.699662498977,0.6097723194294546,0.5043561156195892
KSQ37,-94.802319,38.998625,918.8692400103354,966.999677423055,0.5499340725134227,0.6333793332109983
KSR33,-98.048033,38.218584,845.0771072889697,875.5525663391294,0.3174677066781268,0.2571350268281481
KSR34,-97.269711,38.346908,861.4293271007042,903.0255941924096,0.2897615678976357,0.38159850054760625
KSR35,-96.59454,38.367883,867.4445426923368,941.2866945982558,0.27966942839848086,0.23544082601081695
KSR36,-95.780304,38.274705,865.1023456275065,916.812901685243,0.560622915011632,0.4520262690181419
KSR37,-94.845077,38.24314,866.6794401079073,912.9284994753813,1.1389681214900638,0.9352555774276868
KSS34,-97.621043,37.608123,794.7058731462143,820.7840004766276,0.38096272104978435,0.3366015119053878
KSS35,-96.714451,37.720339,814.3658914862774,853.4932088855734,0.5370667107517713,0.5280148218877626
KSS36,-95.922534,37.739287,821.7472980579826,855.608763759857,0.5724950089374237,0.6663948411047292
KSS37,-95.070546,37.784481,831.179683285004,854.4187371398033,0.5563125172613084,0.5154819899652037
KYP49,-84.494956,38.94646,1041.5781783056748,1080.376167309391,0.9528442884747038,0.8878314214165359
KYQ49,-84.743142,38.367593,1007.3721453383783,1003.412080390327,0.4791631720503568,0.5440770692948349
KYQ50,-83.946672,38.287693,1020.1102980140279,1028.1049304107087,0.53491824265432,0.5490038162758252
KYQ51,-83.021921,38.177982,1047.7502527384472,1118.7546808489692,0.3667775127330273,0.34662777865596306
KYR46,-87.464093,37.896619,923.4979729224957,982.4853076627812,0.4651095197694663,0.5368427898706474
KYR48,-85.853633,37.828683,949.224499594585,956.7188531258116,0.6616625705290888,0.7585707349974409
